Method,Precision,Recall,F1,TP,FP,FN,TN
Z-Score,0.3643724696356275,0.8181818181818182,0.5042016806722689,90,157,20,1244
Rolling Mean,0.5,0.2636363636363636,0.3452380952380952,29,29,81,1372
IQR,1.0,0.6272727272727273,0.770949720670391,69,0,41,1401
EWMA,0.6162790697674418,0.4818181818181818,0.5408163265306123,53,33,57,1368
